# x	 100		 400		 1000		 5000
0.0000	 0.00000	 0.00000	 0.00000	 0.00000
0.0625	 0.09233	 0.18360	 0.27485	 0.42447
0.0703	 0.10091	 0.19713	 0.29012	 0.43329
0.0781	 0.10890	 0.20920	 0.30353	 0.43648
0.0938	 0.12317	 0.22965	 0.32627	 0.42951
0.1563	 0.16077	 0.28124	 0.37095	 0.35368
0.2266	 0.17507	 0.30203	 0.33075	 0.28066
0.2344	 0.17527	 0.30174	 0.32235	 0.27280
0.5000	 0.05454	 0.05186	 0.02526	 0.00945
0.8047	-0.24533	-0.38598	-0.31966	-0.30018
0.8594	-0.22445	-0.44993	-0.42665	-0.36214
0.9063	-0.16914	-0.23827	-0.51550	-0.41442
0.9453	-0.10313	-0.22847	-0.39188	-0.52876
0.9531	-0.08864	-0.19254	-0.33714	-0.55408
0.9609	-0.07391	-0.15663	-0.27669	-0.55069
0.9688	-0.05906	-0.12146	-0.21388	-0.49774
1.0000	 0.00000	 0.00000	 0.00000	 0.00000
